experiment_name,dataset,examples_per_class,warmup_epochs,optimizer,seed,best_val_acc,final_val_acc,training_time_seconds,total_epochs,batch_size
cifar100_5000epc_w20_adamw_s42,cifar100,5000,20,adamw,42,72.76,72.61,1003.8382089138031,85,256
cifar10_1000epc_w0_adamw_s42,cifar10,1000,0,adamw,42,82.71,82.4,311.45446276664734,85,256
cifar100_1000epc_w0_adamw_s42,cifar100,1000,0,adamw,42,72.59,72.56,1005.8451673984528,85,256
cifar10_1000epc_w5_adamw_s42,cifar10,1000,5,adamw,42,82.74,82.35,324.80790185928345,85,256
cifar100_1000epc_w5_adamw_s42,cifar100,1000,5,adamw,42,72.78,72.65,991.5906205177307,85,256
cifar10_1000epc_w20_adamw_s42,cifar10,1000,20,adamw,42,83.14,82.79,312.42488265037537,85,256
cifar100_1000epc_w20_adamw_s42,cifar100,1000,20,adamw,42,72.76,72.61,1019.1075217723846,85,256
cifar10_500epc_w0_adamw_s42,cifar10,500,0,adamw,42,75.31,75.15,227.25732278823853,85,256
cifar100_500epc_w0_adamw_s42,cifar100,500,0,adamw,42,71.89,71.73,1015.7017667293549,85,256
cifar10_500epc_w5_adamw_s42,cifar10,500,5,adamw,42,76.11,75.97,235.02412486076355,85,256
cifar100_500epc_w5_adamw_s42,cifar100,500,5,adamw,42,72.72,72.5,58.41892600059509,85,256
cifar10_500epc_w20_adamw_s42,cifar10,500,20,adamw,42,75.73,75.64,220.4165380001068,85,256
cifar100_500epc_w20_adamw_s42,cifar100,500,20,adamw,42,72.61,72.59,3268.261897802353,85,256
cifar10_50epc_w0_adamw_s42,cifar10,50,0,adamw,42,42.62,42.51,336.4120271205902,85,256
cifar100_50epc_w0_adamw_s42,cifar100,50,0,adamw,42,36.27,36.07,659.3081619739532,85,256
cifar10_50epc_w1_adamw_s42,cifar10,50,1,adamw,42,43.86,43.81,346.17744517326355,85,256
cifar100_50epc_w1_adamw_s42,cifar100,50,1,adamw,42,35.21,35.15,655.387585401535,85,256
cifar10_50epc_w5_adamw_s42,cifar10,50,5,adamw,42,43.84,43.7,328.72841215133667,85,256
cifar100_50epc_w5_adamw_s42,cifar100,50,5,adamw,42,35.05,34.98,658.4754934310913,85,256
medmnist_5000epc_w5_adamw_s42,medmnist,5000,5,adamw,42,88.53760445682451,88.06406685236769,2853.093724012375,85,256
medmnist_1000epc_w5_adamw_s42,medmnist,1000,5,adamw,42,83.45403899721448,80.44568245125348,737.0272517204285,85,256
medmnist_500epc_w5_adamw_s42,medmnist,500,5,adamw,42,77.75766016713092,77.39554317548746,473.550039768219,85,256
medmnist_100epc_w1_adamw_s42,medmnist,100,1,adamw,42,70.6267409470752,70.30640668523677,262.86733508110046,85,256
medmnist_50epc_w1_adamw_s42,medmnist,50,1,adamw,42,69.77715877437326,69.55431754874652,239.10747027397156,85,256
medmnist_5000epc_w0_adamw_s42,medmnist,5000,0,adamw,42,90.16713091922006,87.95264623955431,2854.1938836574554,85,256
